Question,Answer
Point in Time Solution or Real-Time?,"Both. Our platform updates every 24 hours and we have the ability to take in data at any time. Our platform also has the ability to ingest a report for any specific moment in time and pass back values for that timeframe. 

As of July 1, we offer hourly measurement in addition to daily. Grid intensity can fluctuate significantly on an hourly basis due to the variable nature of both renewable energy sources (sun, wind) and electricity demand. To achieve effective decarbonization, having hourly data is critical. Real-time grid mix data is available for an additional 11 countries, 39 countries total. Where real-time data is unavailable, we use published averages or world-wide defaults. On average, this update increases carbon intensity by six percent. However, some regions, like Brazil and India, were more heavily impacted. Check out the changes at scope3.com."
Reporting,"Scope3 have built the most robust, Always-On Emissions Measurement in our Collaborative Sustainability Platform (CSP).
Media Reporting integrates campaign data from where you buy media and combines it with the Scope3 emissions model to deliver a complete view of your campaign’s carbon footprint and performance.
With Media Reporting you will have:
? Easy-to-access, always-on carbon measurement for your campaigns across digital channels.

? Granular carbon emissions data overlaid with performance (when provided).

? Actionable reduction insights to help you strike a balance between low carbon and efficiency.

The Scope3 measurement dataset has global coverage and is available in all countries. Coverage rate typically depends on publishers' adoption of ads.txt (e.g. slightly lower lower in Japan, China and Brazil)."
"Media Channels & Formats Supported 
(display, mobile, video, CTV, etc.)","We provide omnichannel coverage across digitial channels: programmatic, IO-bought digital, social, YouTube, CTV, OLV, in-app, DOOH, and digital audio."
Commercial Model (detail all available),"We have over 100 clients across the ecosystem: brands, agencies, publishers, SSPs, DSPs, verification companies, and other ad tech companies. We have various commercial models, including CPM and SaaS subcription pricing, for our different customer types. More on our pricing for agencies and brands is below."
Pricing Model,"Measurement: brands and agencies may access measurement directly through our Collaborative Sustainability Platform, at a rack rate of $0.02 for measured impressions. Our data is also available through market-leading verification companies, including DoubleVerify, IAS, and Ebiquity. Further, we've made our data available via partner toolsets: this includes Publicis, where our data exclusively powers both the Responsible Media Tag (RMT) and Lighthouse.

Beyond measurement, we have a suite of solutions aimed at helping brands and agencies reduce their emissions:

1) Climate Shield is available in a number of DSPs, including TTD, Yahoo, Xandr, Nexxen (formerly Amobee/Tremor), and Basis. Climate Shield is a pre-bid segment that stops your campaigns from serving on the highest-carbon domains ('climate risk inventory') and Made for Advertising sites. Early agency & brand adopters have found blocking high-carbon inventory typically improves performance, since much of that supply is what you might consider waste: MFA sites, publishers with enormous amounts of reselling, low-attention domains, etc.
 
2) Green Media Products (GMPs) are available through our contracted SSPs and publishers. GMPs enable you to curate Deal IDs that exclude 'climate risk' inventory and Made for Advertising sites. Carbon compensation is also available for the emissions created by these Deal IDs, and is executed through Carbon Direct.

3) Custom algorithms. We are partnered with Lighthouse, Chalice, Scibids, Greenbids, MiQ, and others to provide custom algorithms that optimize to both performance and emissions. We are happy to schedule time to speak further about what this looks like in various DSPs."
Data Methodology,https://methodology.scope3.com/lifecycle
Data Sources ,"Scope3 has built a robust and detailed proprietary model of website and ad delivery emissions. The data that Scope3 uses come from a variety of data sources, both public and private. We license some 3rd party datasets as inputs of our emissions model."
Describe how your solution incorporates the WFA/GARM/Ad Net Zero Global Media Sustainability Framework. ,"Scope3's methodology is aligned with the GMSF as much as possible given the draft nature of the framework today. As soon as the accreditation process is finalized, we fully expect to attain accreditation. 

The V1 of the GMSF launched in Cannes (June 2024) is the beginning of what will become an established framework for our industry to adopt and audit against, but it is not there yet. Industry standards take time to mature and the GMSF is no exception. Scope3 has been an active supporter during the development of the GMSF and we will continue to support in the upcoming iterations."
"Provide any other standards, guidelines or framework your solution incorporates.","Please refer to the digital advertising framework comparison diagram in tab A - Scope3 Framework Comparison for a visualization of the the boundaries and inclusions of the SRI V2 framework, Scope3’s open source framework, and the first iteration of the GMSF.

The SRI V2 standard covers a smaller area of the advertising lifecycle assessment, but it is comprehensive within it’s boundaries, with clear formulas and outlined data sources in each area.

The Scope3 framework documents every single calculation and data source across our methodology and covers all the areas of the SRI and almost all of the areas of the GMSF.

The GMSF is covering a wider area than SRI, and including some interesting new areas in boundary, like targeting and tech manipulation, but these areas are not mature yet and still awaiting further details on how they will be measured.

All of these frameworks will continue (along with others like Dimpact and GroupM) while the GMSF is socialized and expanded to support the entire advertising ecosystem."
"Describe your process for collecting data, including methodologies for attribution and estimation.","Scope3 has built a robust and detailed model of the environmental impact of the media and advertising industry. This model is based on an open source methodology and uses public and privately contributed data sources to produce an estimation of the carbon footprint of each ad impression across many channels.  

Please see here for our open source measurement methodology (https://methodology.scope3.com/lifecycle) and here for our API documentation (https://docs.scope3.com/docs/getting-started) which details our data schemas and the mechanisms we make available to partners for seamless data exchange.

We have a suite of products that can be used across the advertising ecosystem including the industry's first Collaborative Sustainability Platform - available at Scope3.com. Users may access our emissions model and decarbonization products within our platform or data exchange via cloud bucket or API. Integration options are flexible and can support diverse use cases."
"Is your solution capable of measuring the carbon impact of a programmatic bid request? If so, what specific data needs to be provided, and by which party (buyer, seller, DSP, SSP, etc.)? ","Granular measurement of programmatic bid requests is a core strength of the Scope3 emissions model. Details of our methodology pertaining to ad tech platforms is documented on GitHub (https://github.com/scope3data/methodology/blob/main/scope3_methodology/ad_tech_platform/model.py). 

Our model is informed by contributed data from all of our partners greatly elevating the precision of emissions measurement output. In cases where contributed data is not available, we leverage a series of default fallbacks that support reasonable estimates in most situations."
Duration Media's Sequency™enables publishers to curate impressions that require only a single bid request (vs. an average of 135 bid requests for standard display impressions). Explain in detail how your solution can compare the carbon impact of a Sequency impression vs. a standard display impression.,"Scope3 has adopted a core metric, gCO?PM (grams of carbon equivalent per thousand impressions), that allows us to normalize measurement across channels, properties, and digital supply paths on the foundation of activity-based, product level data in line with GMSF best practice. Because of the dynamic and granular nature of Scope3 emissions measurement, we are able to deliver nuanced comparison of transactions that leverage Duration Media Sequency™ attributing the full impact of carbon avoided per impression through use of your technology."
Explain how your solution aligns with the new RFI requirements outlined in the WFA/ GARM/Ad Net Zero Global Media Sustainability Framework. ,"The GMSF has suggested two data request forms in V1 of the framework: one for media owners, one for solutions providers. For media owners, we have been working closely with our partners already and our model aggregates various data points about their corporate emissions. This approach is aligned with the GMSF.

For solutions providers like ourselves, we have provided the request form as an attachment for full transparency (GMSF_Solutions_Transparency_Scope3.pdf)."
Explain how your solution is different from other carbon measurement solutions. Specify any unique differentiators for buyers and publishers. ,"Our primary differentiators are the transparency and rigor of our emissions model and the robust suite of products that we have built around our emissions data set to make our data actionable across the entire digital lifecycle of an ad. In contrast to perceived competitors in sustainable advertising with core business focus in other areas such as ad creative, selling ethical ad formats, or spend-based carbon accounting of overall corporate emissions, Scope3 is laser-focused on enabling stakeholders across both buy and sellside to decarbonize media and advertising."
"What, if any, third party has verified your company's carbon emissions measurement methodology? ","BL évolution (https://www.bl-evolution.com/) has conducted an initial assessment of our methodology against the SRI framework and ISO 14067. We are finalizing adjustments following review of their analysis and expect work to be completed on this project within the next quarter.  This assessment is a first step. We have spoken with EY and PwC, both of whom have indicated that work on an audit is contingent on industry sustainability standards which are currently in the process of being established and adopted. Additional supporting documentation is provided via attachment (20240702-Cover_letter-Scope3.pdf)."
"AdTech Integrations 
(DSP, SSP, Ad Servers)","We have over 100+, including:
Magnite
The Trade Desk
Sharethrough
Yahoo
OpenX
Teads
MiQ
Media.net
Yahoo SSP
Index Exchange
Picnic
Plug
ShowHeroes
The GoodNet
GumGum
Ads for the Planet
The Goodnet
Café Media
Blockthrough
Givsly
ADYOULIKE
Xandr
Basis
Viant
Nexxen
Bidtellect"
Ad Verification Integrations,"DV, IAS, Ebiquity, Lumen"
Publisher Integrations,"We have many publisher integrations, including:
AccuWeather
Vox
Dailymotion
The Atlantic
Insider
Hearst
The Guardian
New York Times
Penske Media
Future
Group Black
Raptive
TripAdvisor
La Presse"
"Other notable marketplace integrations 
(offset partners, etc.)",Carbon Direct for Carbon Compensation. 
Comments,
Certifications/Memberships,"Scope3 carbon emissions data does not touch user data, cookie data, PII data in any way. We do not have the concept of user ID in our data set. As such we are not subject to CCPA or other privacy laws including GDPR."
Comments,
Implementation and Activation Process,"Implementation for Measurement: 
There are several ways to work with Scope3 for measurement. This can be either through a partner such as Lighthouse, IAS or DV. Our clients may also work with us directly via a file upload, cloud sync, or API integration. More details of these options can be found here - https://docs.scope3.com/docs/getting-started

Activation for Reductions:
This can be done via 
Climate Shield - Pre-bid in DSP platforms 
GMP & GMP+ - Activated via the creation of Deal IDs via SSP partners 
Custom Algorithms - Created either by a 3P partner, or directly with an agency team"
Partner Name:,Scope3
Date:,8/26/2024
Contact Name(s),Joey Leichman
Contact Email(s),jleichman@scope3.com
Contact Phone Number(s),201-982-4237
Could you provide a quick overview of your Carbon emissions measurement approach? What are the foundational aspects of the methodology? Which inputs are used to feed the calculation models?,"Our complete methodology, including inputs, is open-source and available at https://methodology.scope3.com/lifecycle. To summarize: the lifecycle of an ad can be broken down into three stages: production, distribution, and disposal. The production phase includes media production and creative production. Disposal relates to recycling of newspapers or vinyl used for billboards and is not relevant to digital media. The distribution phase has three components:

1) Media distribution. For more on the data we leverage and our methodology we employ to measure publishers emissions, please see: https://methodology.scope3.com/corporate_model
2) Ad selection. For more on how we generate a comprehensive view of a given publisher's ad tech stack, please see: https://methodology.scope3.com/publisher_model
3) Creative delivery at the point of consumer engagement. For more information on how we measure consumer device, please see: https://methodology.scope3.com/consumer_devices. For more information on how we measure creative distribution, please see: https://methodology.scope3.com/creative.

For a visual representation of some of these concepts, please see: https://scope3.docsend.com/view/6dzxkipdmzxbcqef"
Could you provide a document or a link to your measurement methodology principles?,Our methodology is open-source and available at https://methodology.scope3.com/lifecycle. We invite you to visit the site to dig deeper into our model.
Is your methodology following GARM Framework?,"Scope3 has been centrally involved in the working groups building out the GMSF (formerly GARM) and we will surface V1 of the framework in our UI in the coming weeks. However, the GMSF is not complete - in the interim, we are continuing to employ the Scope3 methodology, which is closely aligned with the GMSF."
Is your methodology verified?,We have been assessed against the SRI standard and Alliance Digitale by BL Evolution. Highlights from that assessment are below (row 26).
How is your methodology factoring Supply Path?,"We map + visualize the digital supply chain for every publisher globally at scope3.com (New York Times example in 'Screenshots' tab), and this is a core input for calculating a given publisher's Ad Selection emissions (more on that in row 13). When measuring a given impression served by a brand or agency, we see each 'node' along each supply path and use that as a key factor in determining total emissions."
"At Horizon we have been running an SPO program for a few years, Do you factor cases when SSP is part of the SPO program?","Our data does include SSP-level detail and we've found there can be differences in emissions from SSP to SSP. However, those differences are relatively immaterial compared to the delta between high- and low-emitting publishers.

With that in mind: Horizon limiting bid responses to a shortlist of partners is certainly the right thing to do for several reasons. However, the publishers on which Horizon serves still send bid requests through their full ad stacks: they still engage their full suite of ad server, SSP, and DSP partners - which spins up servers, which in turn creates emissions - regardless of how Horizon respond. In other words, SPO unfortunately does not reduce pub-side emissions. This is why steering investment towards low-carbon pubs is a powerful way to reduce carbon + reduce waste, which in turn tends to drive improved media performance."
How did you compile Publisher information to allocate CO2 emissions to a certain placement?,"Scope3's overall approach to publisher emissions modeling can be found at https://methodology.scope3.com/publisher_model. In addition, Scope3 offers publishers and Ad Tech Platform partners self-serve custom ad format modeling. Our platform recognizes the emissions from the size and number of images, duration of videos, dimensions of placements, and any additional kbs (e.g. for a lens or graphic element) in a format."
"What level of granularity are you providing Carbon Emissions estimate (Site, Domain, Placement, Event, other)? Please include details in ""Reporting Output"" Tab","Reporting output in Scope3's Media Reporting dashboard is available by advertiser, country, channel, and campaign. Teams can also export data out via cloud bucket integration at any level of granularity. Emissions can be segmented by  advertiser, country, channel, campaign, device type, insertion order/line item/ad group/placement, creative, creative size/duration, network, or domain/app name."
,
"Do you have a verification process in place with publishers (Y/N), If yes, please also inform in the Verified Publisher List Tab",Yes. Scope3 verifies the properties and ad formats of publisher partners if their contributed data meets our requirements for acuracy. Details linked here.
"Have you run benchmark with other methodologies? Does the measurement you provide in a close range to other competitors calculations? If there were differences, where do you think they come from?","As mentioned above, we have been assessed against the SRI standard and Alliance Digitale by BL Evolution. The assessment found Scope3 uses more accurate and up-to-date data than other methodologies. The assessment concludes: ""The comprehensive review concluded that Scope3 SRI/AD module is aligned with the SRI/AD framework. Its methodology is robust, data handling is precise, and reporting mechanisms are transparent and user-friendly. The tool provides a reliable resource for advertisers seeking to measure and reduce the carbon impact of their campaigns. Commendations are due to Scope3 for its dedication to sustainability and its contribution to more transparent and accountable carbon footprint assessment in the advertising industry, with a totally open-source contribution and active participation in the ecosystem."""
Could you provide a list with a short explanation of your portfolio of products and services?,"Measurement: brands and agencies may access measurement directly through our Collaborative Sustainability Platform (scope3.com). Our data is also available through market-leading verification companies, including DoubleVerify, IAS, and Ebiquity. Further, we've made our data available via API to partner toolsets, including brand/agency dashboards and calculators.

Beyond measurement, we have a suite of solutions aimed at helping brands and agencies reduce their emissions:

1) Climate Shield is a pre-bid segment available in several DSPs - including TTD, Yahoo, MSFT/Xandr, Nexxen (formerly Amobee/Tremor), Viant, Basis, and more - that prevents campaigns from serving on 'climate risk' inventory: the highest-carbon domains in a given country and Made for Advertising sites. Agency & brand adopters have found blocking high-carbon inventory typically improves performance, since much of that supply is what you might consider waste: MFA sites, publishers with enormous amounts of reselling, low-attention domains, etc.
 
2) Green Media Products (GMPs) are available through our contracted SSPs and publishers. GMPs enable our partners to curate Deal IDs that exclude 'climate risk' inventory. Carbon compensation is optionally available for the emissions created by these Deal IDs, and is executed through Carbon Direct.

3) Custom algorithms. We are partnered with Chalice, Scibids, Greenbids, MiQ, and others to provide custom algorithms that optimize to both performance and emissions."
Digital Video - MVPD,Yes
Digital Video - OTT,Yes
Digital Video - CTV,Yes
Digital Video - OLV,Yes
Digital Audio - Streaming,Yes
Digital Audio - Podcasting,Yes
Digital - OOH,Yes
Social,Yes
Search,No
Display - Web,Yes
Linear Video - TV,No
Audio - Broadcast,No
Audio - Satellite Radio,No
OOH - Other,No
Print - Magazines,No
Print - Newspapers,No
Print - Others,No
Experiential/ Events,No
Influencers,No
Other (please list): various AI use cases,Yes
"Please list all category verticals you have activated with before? (Auto, CPG, Healthcare, QSR, etc.)",Over 3500 brands across all major verticals have activated Scope3's measurement and reduction solutions.
Are you a Carbon Neutral organization?,"We have taken concrete steps to ensure we are decarbonizing as an organization. We report on our emissions monthly, compensate for all travel annually, and have policies in place to manage our carbon. These include a sustainable travel policy, global WFH, and use of an events calculator to measure & minimize our footprint when in-person."
"Do you complete a CDP Questionnaire? If no, do you use others (i.e. Ecovadis)",We have not completed a CDP questionnaire at this time - our primary focus is on the systemic change we can drive as a primary catalyst in the media and advertising ecosystem. We are also working on preparation for b-corp status.
Are you sBTI certified?,We are currently an SME and preparing our reporting for future company phases in order to set SBTI targets against which we can reduce.
Do you have any Sustainability Case Studies? (Y/N),Yes - case studies are attached.
Have you worked with Horizon Media in any capacity in the past? (Y/N),"Yes, in several capacities. Horizon has used our data since 2022 to power client dashboarding (including for Hershey). In 2024, Horizon as a practice converted all PMPs with Sharethrough - a Scope3 partner SSP - into Green Media Products, one of our carbon reduction solutions."
Tell us about your company values and what makes you unique.,"We are the only end-to-end supply chain emissions data platform to combine public and private data sources to deliver a predictive model of emissions for every publisher and vendor across advertising channels, without the need to add pixels or complexity to the operational workflow of trafficking a campaign. Our emissions data can be integrated with planning, measurement and reporting tools to seamlessly deliver carbon-adjusted metrics and demonstrate progress against climate goals and commitments. We additionally power a number of solutions for emissions reduction, including our Climate Shield pre-bid segment and Green Media Products (GMPs), which both exclude the highest-carbon domains ('climate risk inventory') and Made for Advertising sites."
What sets you apart from other competitors in this space?,"Our differentiation spans several dimensions: 

1) Category creation and leadership. Prior to Scope3's inception, 'emissions reduction' was typically thought of as relating to a company's physical operations, manufacturing, and traditional supply chain. Scope3 developed a proprietary, owned & operated platform to measure carbon emissions in the media ecosystem, which has created a level of awareness, adoption, and action that did not exist prior to our creation.2) Most comprehensive and granular emissions model. Scope3's activity-based emissions model is the most comprehensive and granular emissions model available commercially today for digital advertising and media, and forms the basis for all Scope3's measurement and reduction products.  3) Unparalleled industry expertise. We are founded and led by a team that invented many of the foundational technologies behind the $100B programmatic advertising industry. Most notably, our CEO Brian O'Kelley was the previously the CEO & Founder of AppNexus and personally invented much of the core infrasturcuture upon which our industry was built. Beyond credentials, this gives Scope3 the background and expertise to accurately understand, model, and measure the digital ecosystem. 4) We live our mission. Namely, to systemically decarbonize media and advertising. We use our mission as the north star for our strategy, culture, and everyday decision making. One consequence of our mission is that we design opinionated solutions that we believe will drive the best outcomes for our core constituents: advertisers, publishers, citizens of the digital world, and our planet. 5) Ubiquitous product accessibility. We have intentionally made our measurement + reduction solutions widely available. Our aim is to ensure we meet our partners 'where they are' - from leading verification companies like the IAS, DV, and Ebiquity, to leading ad tech platforms like Magnite, Xandr, and OpenX, to premier publishers like the NY Times, Meredith, and The Atlantic. 6) Exceptional global service. We have purposely over-indexed on customer support and services resources, available globally on an always-on, 'follow the sun' basis."
"Please Provide an overview of additional services if applies, please attach documentation when available","We partner with a number of agencies brands in paid engagements, wherein our Solutions group allocates hours to our partners to consult on specific projects. These engagement often take the form of 'Measurement Studies,' in which we work with a client to reduce emissions over a particular time period with neutral-to-positive impacts on media performance. We are happy to have a further discussion on this, particularly as Horizon clients begin coming online with Scope3 measurement. This offering is completely optional and Horizon will not be subject to 'suprise' or unexpected consulting fees - any such agreement would be explicit + contractual."
What can you share about your fee structure?,"Measurement via our Collaborative Sustainability Platform carries a $0.06 USD CPM rack rate. We are currently discussing with Horizon a preferred pricing agreement. Should scale reach a point at which Horizon or a given client(s) prefers committed subscription pricing, we can explore that together."
Do you have minimums we should be aware of with respect to project and/or monthly retainer size?,"Typically no, and we are eager to learn more about your desired use cases."
Do you have a Horizon Media ratecard? ,Currently in negotiation. 
Have you filled out our HMI Vendor Authorization Form?,We don't believe so. Thank you in advance for providing the PDF.
"Do you have any exclusivity with current clients and/or industries? If so, do you imagine that they would restrict your ability to work with us?",No.
How have you managed confidentiality with past clients? (ie Do you share brand success stories? Do you share competitive intel of different brands?),"Our work with each brand and agency is entirely confidential, and we do not share named case studies or proprietary data without explicit approval + marketing rights. We also do not directly share competitive intel across clients, and defer instead to geo + format benchmarks."
"Please disregard this question if you have activated media for a Horizon client in the past: 
Have you already completed and provided a Horizon Media Vendor Authorization Form? If not, we can provide you a blank pdf to complete.",We don't believe so. Thank you in advance for providing the PDF.
What DSPs are you integrated with?,"We partner with DSPs in a variety of ways: powering carbon-aware custom algorithms, integrating our Climate Shield DSP segments, and faciliating in-platform emissions reporting. Our DSP partners include The Trade Desk, Yahoo, MSFT/Xandr, Nexxen, Viant, Basis, Bidtellect, and AdTheorent."
What SSPs are you integrated with? ,"Magnite
Sharethrough
OpenX
Teads
Media.net
Index Exchange
Picnic
Plug
ShowHeroes
The GoodNet
GumGum
Ads for the Planet
The Goodnet
Blockthrough
Givsly
ADYOULIKE
InMobi
Google Curate
Brave
DailyMotion
TripleLift
PlaceExchange
Digital Turbine
Outbrain
Nexxen
Xandr Curate
TrustX
VIOOH
VideoHeroes
Undertone
Eskimi
Equativ
Infolinks
Viously
Hivestack"
